1947 Q1 40.274
1947 Q2 40.138
1947 Q3 39.361
1947 Q4 39.534
1948 Q1 40.875
1948 Q2 42.884
1948 Q3 44.66
1948 Q4 46.603
1949 Q1 48.585
1949 Q2 50.381
1949 Q3 50.356
1949 Q4 49.91
1950 Q1 48.956
1950 Q2 49.643
1950 Q3 49.746
1950 Q4 53.713
1951 Q1 62.033
1951 Q2 69.821
1951 Q3 78.046
1951 Q4 83.314
1952 Q1 84.998
1952 Q2 88.987
1952 Q3 90.931
1952 Q4 93.418
1953 Q1 95.764
1953 Q2 97.925
1953 Q3 96.622
1953 Q4 96.747
1954 Q1 94.831
1954 Q2 92.534
1954 Q3 91.148
1954 Q4 91.356
1955 Q1 91.869
1955 Q2 92.533
1955 Q3 94.099
1955 Q4 93.331
1956 Q1 94.848
1956 Q2 98.247
1956 Q3 98.279
1956 Q4 101.345
1957 Q1 105.342
1957 Q2 105.842
1957 Q3 107.405
1957 Q4 110.062
1958 Q1 109.843
1958 Q2 113.624
1958 Q3 115.093
1958 Q4 117.992
1959 Q1 117.195
1959 Q2 118.535
1959 Q3 119.492
1959 Q4 118.608
1960 Q1 116.951
1960 Q2 118.38
1960 Q3 122.419
1960 Q4 124.33
1961 Q1 126.218
1961 Q2 127.254
1961 Q3 129.961
1961 Q4 133.516
1962 Q1 137.107
1962 Q2 138.426
1962 Q3 142.052
1962 Q4 143.562
1963 Q1 143.724
1963 Q2 144.132
1963 Q3 149.927
1963 Q4 150.989
1964 Q1 152.554
1964 Q2 154.314
1964 Q3 156.033
1964 Q4 156.152
1965 Q1 157.025
1965 Q2 159.808
1965 Q3 166.761
1965 Q4 172.619
1966 Q1 177.032
1966 Q2 181.659
1966 Q3 189.466
1966 Q4 193.621
1967 Q1 202.588
1967 Q2 203.811
1967 Q3 208.379
1967 Q4 213.293
1968 Q1 219.749
1968 Q2 223.637
1968 Q3 227.37
1968 Q4 231.347
1969 Q1 233.705
1969 Q2 236.859
1969 Q3 242.535
1969 Q4 242.838
1970 Q1 247.889
1970 Q2 249.143
1970 Q3 254.584
1970 Q4 258.708
1971 Q1 261.905
1971 Q2 266.118
1971 Q3 269.783
1971 Q4 272.067
1972 Q1 282.228
1972 Q2 286.464
1972 Q3 284.316
1972 Q4 291.749
1973 Q1 299.571
1973 Q2 302.709
1973 Q3 304.189
1973 Q4 312.593
1974 Q1 324.586
1974 Q2 334.957
1974 Q3 346.71
1974 Q4 359.228
1975 Q1 370.138
1975 Q2 373.408
1975 Q3 385.394
1975 Q4 395.571
1976 Q1 401.291
1976 Q2 400.985
1976 Q3 403.517
1976 Q4 410.818
1977 Q1 421.202
1977 Q2 431.362
1977 Q3 438.014
1977 Q4 446.749
1978 Q1 452.589
1978 Q2 472.288
1978 Q3 484.229
1978 Q4 496.241
1979 Q1 501.818
1979 Q2 516.508
1979 Q3 533.106
1979 Q4 547.775
1980 Q1 568.781
1980 Q2 588.547
1980 Q3 592.169
1980 Q4 608.893
1981 Q1 633.35
1981 Q2 648.673
1981 Q3 657.774
1981 Q4 677.727
1982 Q1 688.104
1982 Q2 703.093
1982 Q3 717.344
1982 Q4 737.351
1983 Q1 747.852
1983 Q2 761.061
1983 Q3 782.216
1983 Q4 775.099
1984 Q1 794.021
1984 Q2 819.132
1984 Q3 835.72
1984 Q4 862.769
1985 Q1 875.592
1985 Q2 900.527
1985 Q3 927.363
1985 Q4 938.584
1986 Q1 946.803
1986 Q2 967.519
1986 Q3 993.597
1986 Q4 996.385
1987 Q1 1008.681
1987 Q2 1025.219
1987 Q3 1036.195
1987 Q4 1056.024
1988 Q1 1056.893
1988 Q2 1070.421
1988 Q3 1078.19
1988 Q4 1109.916
1989 Q1 1116.559
1989 Q2 1145.809
1989 Q3 1164.58
1989 Q4 1180.5
1990 Q1 1212.45
1990 Q2 1230.721
1990 Q3 1242.584
1990 Q4 1268.467
1991 Q1 1284.187
1991 Q2 1296.577
1991 Q3 1306.265
1991 Q4 1308.774
1992 Q1 1326.421
1992 Q2 1334.807
1992 Q3 1353.997
1992 Q4 1362.775
1993 Q1 1351.818
1993 Q2 1359.066
1993 Q3 1367.411
1993 Q4 1381.394
1994 Q1 1373.35
1994 Q2 1389.392
1994 Q3 1423.432
1994 Q4 1422.923
1995 Q1 1437.596
1995 Q2 1452.892
1995 Q3 1455.659
1995 Q4 1451.575
1996 Q1 1471.295
1996 Q2 1487.662
1996 Q3 1496.733
1996 Q4 1515.702
1997 Q1 1515.985
1997 Q2 1542.541
1997 Q3 1555.224
1997 Q4 1574.782
1998 Q1 1568.029
1998 Q2 1603.691
1998 Q3 1627.262
1998 Q4 1647.452
1999 Q1 1669.4
1999 Q2 1695.179
1999 Q3 1734.512
1999 Q4 1782.347
2000 Q1 1790.716
2000 Q2 1823.116
2000 Q3 1832.333
2000 Q4 1861.214
2001 Q1 1905.413
2001 Q2 1946.995
2001 Q3 1952.705
2001 Q4 1991.988
2002 Q1 2038.946
2002 Q2 2073.495
2002 Q3 2100.432
2002 Q4 2141.997
2003 Q1 2172.36
2003 Q2 2199.425
2003 Q3 2221.212
2003 Q4 2251.834
2004 Q1 2287.338
2004 Q2 2321.398
2004 Q3 2357.154
2004 Q4 2389.668
2005 Q1 2426.905
2005 Q2 2452.909
2005 Q3 2495.099
2005 Q4 2529.054
2006 Q1 2580.699
2006 Q2 2610.894
2006 Q3 2630.65
2006 Q4 2674.694
2007 Q1 2719.157
2007 Q2 2770.314
2007 Q3 2809.03
2007 Q4 2864.876
2008 Q1 2909.263
2008 Q2 2971.12
2008 Q3 3027.545
2008 Q4 3020.03
2009 Q1 3019.656
2009 Q2 3067.595
2009 Q3 3088.993
2009 Q4 3117.803
2010 Q1 3131.884
2010 Q2 3164.663
2010 Q3 3157.912
2010 Q4 3164.129
2011 Q1 3155.982
2011 Q2 3168.577
2011 Q3 3137.494
2011 Q4 3131.435
2012 Q1 3144.668
2012 Q2 3131.04
2012 Q3 3139.625
2012 Q4 3132.709
2013 Q1 3125.038
2013 Q2 3131.988
2013 Q3 3134.089
2013 Q4 3138.519
2014 Q1 3139.144
2014 Q2 3150.938
2014 Q3 3189.924
2014 Q4 3188.157
2015 Q1 3188.469
2015 Q2 3237.58
2015 Q3 3256.95
2015 Q4 3253.841
2016 Q1 3262.705
2016 Q2 3278.241
2016 Q3 3300.537
2016 Q4 3322.432
2017 Q1 3346.382
2017 Q2 3359.981
2017 Q3 3372.323
2017 Q4 3419.089
